ant	tile_id	tile_name	electrical_length_m	east_m	north_m	height_m	flagged
80	111	Tile111	-1436.83	-333.75799560546875	1660.72998046875	371.0679931640625	False
81	112	Tile112	-1582.47	-227.1510009765625	898.1290283203125	373.6940002441406	False
82	113	Tile113	-1435.76	-173.7169952392578	781.6380004882812	374.2170104980469	False
83	114	Tile114	-1582.82	-256.9519958496094	892.0050048828125	373.49200439453125	False
84	115	Tile115	-1436.89	-195.01800537109375	762.8930053710938	374.0929870605469	False
85	116	Tile116	-1437.09	-249.64700317382812	731.708984375	373.7969970703125	False
86	117	Tile117	-1437.65	-300.6960144042969	704.3259887695312	373.5140075683594	False
87	118	Tile118	-1436.9	-889.4710083007812	1088.1400146484375	370.3810119628906	False
88	121	Tile121	-1435.63	716.3930053710938	1405.260009765625	374.60198974609375	False
89	122	Tile122	-1434.47	288.0660095214844	618.2650146484375	375.1340026855469	False
90	123	Tile123	-1578.62	238.30999755859375	768.4130249023438	375.80499267578125	False
91	124	Tile124	-1673.73	227.8780059814453	819.7239990234375	375.74798583984375	False
92	125	Tile125	-1435.33	61.44300079345703	815.2550048828125	376.0010070800781	False
93	126	Tile126	-1434.37	-58.874000549316406	810.530029296875	375.1700134277344	False
94	127	Tile127	-1578.28	35.2239990234375	950.2420043945312	376.2749938964844	False
95	128	Tile128	-1434.03	1.0149999856948853	1412.3599853515625	373.6820068359375	False
96	131	Tile131	-1440.65	839.9429931640625	990.2269897460938	372.6960144042969	False
97	132	Tile132	-1439.3	1177.2900390625	858.6320190429688	372.12200927734375	False
98	133	Tile133	-1439.87	1313.6099853515625	553.3720092773438	370.35400390625	False
99	134	Tile134	-1585.29	556.1220092773438	244.48500061035156	372.28399658203125	False
100	135	Tile135	-1678.64	571.541015625	359.2099914550781	372.5090026855469	False
101	136	Tile136	-1585.44	488.85699462890625	424.9800109863281	372.9670104980469	False
102	137	Tile137	-1678.93	528.5980224609375	539.1939697265625	372.78900146484375	False
103	138	Tile138	-1439.32	381.0690002441406	652.864013671875	374.2510070800781	False
104	141	Tile141	-1441.96	1100.93994140625	151.75999450683594	369.06500244140625	False
105	142	Tile142	-1441.58	1201.1300048828125	-443.25	368.3280029296875	False
106	143	Tile143	-1680.89	498.6289978027344	-264.593994140625	373.2200012207031	False
107	144	Tile144	-1440.91	301.1929931640625	-48.95199966430664	374.6180114746094	False
108	145	Tile145	-1441.63	370.64801025390625	-38.415000915527344	374.3399963378906	False
109	146	Tile146	-1681.79	544.323974609375	-91.1520004272461	372.81201171875	False
110	147	Tile147	-1586.05	506.7929992675781	-3.2160000801086426	372.8030090332031	False
111	148	Tile148	-1586.04	523.7269897460938	75.49400329589844	372.6130065917969	False
112	151	Tile151	-762.1	653.7739868164062	-1037.75	371.0710144042969	False
113	152	Tile152	-1100.79	442.989990234375	-835.3060302734375	372.2510070800781	False
114	153	Tile153	-762.01	-58.80099868774414	-505.3320007324219	372.9129943847656	False
115	154	Tile154	-762.18	37.064998626708984	-405.04998779296875	374.03399658203125	False
116	155	Tile155	-907.85	232.8419952392578	-357.8909912109375	375.2619934082031	False
117	156	Tile156	-907.65	257.9840087890625	-366.4530029296875	375.22100830078125	False
118	157	Tile157	-907.51	325.68798828125	-318.50799560546875	375.02899169921875	False
119	158	Tile158	-904.65	326.10101318359375	-306.3070068359375	375.12799072265625	False
120	161	Tile161	-1271.33	-412.4570007324219	-409.05999755859375	373.968994140625	False
121	162	Tile162	-1103.41	-141.8979949951172	-420.260986328125	373.50299072265625	False
122	163	Tile163	-764.11	-480.2699890136719	-817.323974609375	375.7200012207031	False
123	164	Tile164	-763.34	-575.5330200195312	-863.781982421875	375.5220031738281	False
124	165	Tile165	-765.46	-674.02099609375	-638.8709716796875	375.3399963378906	False
125	166	Tile166	-910.73	-631.4030151367188	-245.10699462890625	375.54400634765625	False
126	167	Tile167	-909.09	-633.2369995117188	-169.36199951171875	375.6159973144531	False
127	168	Tile168	-1003.29	-568.5399780273438	-257.6600036621094	375.2460021972656	False
